N,Size,Grdy,It,Bt1,Bt2,Bt3,Tht
2,16,202800,286300,227200,179400,198500,2418700
2,16,205400,291500,228300,180800,200200,4348600
2,16,207500,294600,229100,182000,201600,5668400
2,16,210300,299200,232600,183800,205800,6672600
2,16,212300,302400,233400,184900,207100,7956000
2,16,215900,306100,234300,186000,208400,8844500
2,16,220700,310700,236300,187200,209600,9659900
2,16,222400,313800,237100,188100,210700,10409900
2,16,224100,316400,237800,189000,211800,16685200
2,16,226700,319600,238600,190100,213100,18881600
4,16,2900,5900,1400,1700,2200,3100200
4,16,7600,14400,4400,3600,5700,4732600
4,16,9800,20100,5900,5100,7800,7001200
4,16,13800,26200,7100,6700,9800,8930900
4,16,17400,36900,11800,9700,14100,12038700
4,16,21000,45300,13800,12200,17300,13709200
4,16,23400,52600,15100,13700,19600,15133200
4,16,25500,58100,16300,15200,21600,16846400
4,16,27500,63500,17500,16800,23600,18491800
4,16,29400,68700,18700,18300,25500,19842100
8,16,3300,18100,13100,5500,28300,2147400
8,16,8200,65500,24600,8500,34400,3637900
8,16,12700,85900,25600,9700,37900,5048800
8,16,15900,112900,27100,11600,40500,6577100
8,16,18000,128900,28000,12600,41800,8074800
8,16,20000,151100,30000,14000,43600,9494700
8,16,23500,171100,31000,15300,45400,10666500
8,16,34200,192400,31900,16500,48100,15708300
8,16,38100,218600,33400,18500,50900,17513600
8,16,40400,234900,34300,19800,52500,19440300
16,16,4800,270400,5800,6600,12200,2064500
16,16,8400,547300,11800,13000,24000,3697400
16,16,12100,822900,18200,19100,36100,5558800
16,16,15300,1128100,38800,29900,48700,7443500
16,16,18600,1423300,45900,36400,73800,9399600
16,16,23200,1708100,56400,43600,86000,11543000
16,16,27000,1989600,59000,51300,98000,13510600
16,16,32300,2291700,62200,59100,110800,16564300
16,16,37800,2600200,64900,66400,123100,18044800
16,16,46800,2906900,67800,73400,135600,19636700
32,16,7300,222100,10000,20200,19400,1509500
32,16,13100,435800,19300,33500,38100,3644100
32,16,17700,640100,29400,48200,57600,5313900
32,16,23400,797300,39400,62500,76900,6866500
32,16,28900,955100,49500,76800,96600,9533300
32,16,32600,1049100,59200,95700,120200,10992100
32,16,36300,1135800,71000,109400,138800,12254900
32,16,40900,1229700,83900,124800,158800,13921900
32,16,43900,1308100,93900,139200,178600,15417900
32,16,49600,1381500,103300,152700,197000,16798500
64,16,22800,2989800,390800,582700,838200,2137000
64,16,30200,5700000,766800,1168000,1675700,5156800
64,16,35300,8840100,1229600,1851600,2617900,8382800
64,16,41700,12571900,1805400,2608200,3662700,12821800
64,16,47700,16028800,2306400,3381200,4679700,19647200
64,16,53400,19190800,2688100,3980800,5607200,22278600
64,16,61700,22331700,3172900,4676600,6597700,26472600
64,16,68800,25425500,3657000,5410100,7645500,29757400
64,16,74400,28755000,4090400,6088300,8727800,33936700
64,16,81500,32482200,4682500,6925300,9796200,37596300
128,16,30200,7468912400,1185425400,1741812700,2881556400,832097600
128,16,37900,21728074800,3801171800,5586906100,7848893600,1714475000
128,16,49700,35743387100,6263514100,9381614600,13006655500,2496552100
128,16,55200,49921410600,8828640100,13176222200,18042092900,3325964300
128,16,65900,64094074900,11319189900,17013608000,22967237700,4298117200
128,16,74000,78065902100,13922338900,20777970500,28014526400,4954362500
128,16,95600,91921185000,16368006000,24620527000,32974422500,5735590700
128,16,103200,105892995800,17784917200,26335528100,35383279900,6119990200
128,16,109100,113267334900,18884606300,28035343400,37687604500,6498515000
128,16,116300,120553001900,19956892300,29768935000,40050004200,6895410100
256,16,31900,2432568074400,446977824000,679810410500,881249153600,181090076000
